指数,时间段,持有总收益(%),策略总收益(%),持有年化(%),策略年化(%),最大回撤(%),天数
沪深300,近5年,-8.73,-3.15,-1.88,-0.66,-37.86,1211
沪深300,近3年,26.49,24.56,8.5,7.92,-21.42,726
沪深300,近1年,24.23,4.54,25.11,4.69,-7.78,244
沪深300,近6月,4.22,2.06,9.23,4.46,-6.71,118
沪深300,近3月,4.37,3.68,19.3,16.08,-4.31,61
沪深300,近1月,-1.23,0.0,-12.72,0.0,0.0,23
创业板,近5年,22.6,11.08,4.33,2.21,-57.05,1211
创业板,近3年,82.83,79.3,23.3,22.47,-32.38,726
创业板,近1年,93.2,22.37,97.42,23.18,-12.16,244
创业板,近6月,24.06,20.82,58.48,49.76,-6.18,118
创业板,近3月,23.35,14.76,138.0,76.62,-5.16,61
创业板,近1月,4.76,0.0,66.42,0.0,0.0,23
中证500,近5年,22.76,21.26,4.36,4.09,-41.81,1211
中证500,近3年,37.9,37.78,11.8,11.77,-27.37,726
中证500,近1年,43.0,10.3,44.69,10.65,-14.06,244
中证500,近6月,15.04,-3.24,34.88,-6.8,-14.06,118
中证500,近3月,-0.34,3.56,-1.41,15.54,-7.48,61
中证500,近1月,-3.93,0.0,-35.53,0.0,0.0,23
