strategy,split,reason,trades,win_rate,average_net_return,total_net_pnl
daily_breakout_2_fixed,train,left_universe,1,0.0,-0.04437751152507909,-24887.7696
daily_breakout_2_fixed,train,stop,174,0.0,-0.05219706628346212,-3630877.5955198007
daily_breakout_2_fixed,train,stop_gap,36,0.0,-0.0758130262235369,-1062310.2545397002
daily_breakout_2_fixed,train,target,101,1.0,0.07747124182533044,3199852.3481264
daily_breakout_2_fixed,train,target_gap,24,1.0,0.11015519059289454,1055046.1894746
daily_breakout_2_fixed,test,left_universe,1,1.0,0.029871861441330284,16025.843200000003
daily_breakout_2_fixed,test,stop,67,0.0,-0.051805462590111956,-2203609.5291226
daily_breakout_2_fixed,test,stop_gap,21,0.0,-0.07215377794867413,-1054749.4738937002
daily_breakout_2_fixed,test,target,65,1.0,0.07804106808760519,3218844.7838341994
daily_breakout_2_fixed,test,target_gap,15,1.0,0.10540541794886386,940471.6655480998
daily_breakout_2_time2,train,stop,143,0.0,-0.052149476995756436,-1724950.4985134993
daily_breakout_2_time2,train,stop_gap,80,0.0,-0.07522748936522654,-1647076.3708012006
daily_breakout_2_time2,train,target,69,1.0,0.07744876350144833,1355039.3835172998
daily_breakout_2_time2,train,target_gap,35,1.0,0.1216004837958055,1050324.7094705
daily_breakout_2_time2,train,time_exit,626,0.4488817891373802,-0.0010826076132601301,45782.58037509912
daily_breakout_2_time2,test,left_universe,1,1.0,0.026166497652670845,32701.091039999854
daily_breakout_2_time2,test,stop,48,0.0,-0.051766554262023,-2267975.4405128006
daily_breakout_2_time2,test,stop_gap,29,0.0,-0.07464061902922688,-2197592.522332301
daily_breakout_2_time2,test,target,46,1.0,0.07810110289959972,3091247.0300050997
daily_breakout_2_time2,test,target_gap,22,1.0,0.11575499879406058,2258203.7014517994
daily_breakout_2_time2,test,time_exit,233,0.5021459227467812,0.001427794250184143,300918.76275720075
daily_breakout_2_time5_market_ma60,train,left_universe,1,0.0,-0.044377511525079086,-20713.883239999996
daily_breakout_2_time5_market_ma60,train,stop,76,0.0,-0.05217171451141991,-1767669.9141516997
daily_breakout_2_time5_market_ma60,train,stop_gap,27,0.0,-0.07395391016211691,-881418.9787882005
daily_breakout_2_time5_market_ma60,train,target,62,1.0,0.07736026135270889,2092514.3564223999
daily_breakout_2_time5_market_ma60,train,target_gap,11,1.0,0.10856174014990015,506028.08265019965
daily_breakout_2_time5_market_ma60,train,time_exit,62,0.41935483870967744,-0.0016530423299455238,-50390.24167310042
daily_breakout_2_time5_market_ma60,test,stop,47,0.0,-0.05177548081927675,-1325178.3215885002
daily_breakout_2_time5_market_ma60,test,stop_gap,21,0.0,-0.08752026208502563,-964602.9242284002
daily_breakout_2_time5_market_ma60,test,target,43,1.0,0.07811114100955377,1730814.5965821
daily_breakout_2_time5_market_ma60,test,target_gap,11,1.0,0.11449007365951153,636168.2139568
daily_breakout_2_time5_market_ma60,test,time_exit,43,0.3488372093023256,-0.006777811873781071,-167452.49199369966
risk_adjusted20_4_ma20,train,left_universe,2,1.0,0.01050417799741809,7496.589800000016
risk_adjusted20_4_ma20,train,ma20_exit,214,0.1588785046728972,-0.0306170764127492,-1741819.5765105006
risk_adjusted20_4_ma20,train,stop,101,0.0,-0.08226140259436006,-2466757.7590458
risk_adjusted20_4_ma20,train,stop_gap,5,0.0,-0.13051795777887817,-175413.19420000006
risk_adjusted20_4_ma20,train,target,89,1.0,0.14724923047661623,3624744.2255900004
risk_adjusted20_4_ma20,train,target_gap,4,1.0,0.17865091039853576,191124.28655
risk_adjusted20_4_ma20,train,time_exit,28,0.9642857142857143,0.056164513420137174,375758.39632000006
risk_adjusted20_4_ma20,test,ma20_exit,82,0.12195121951219512,-0.03316459500579906,-650066.2320079999
risk_adjusted20_4_ma20,test,stop,36,0.0,-0.08185781597936202,-733550.6880506999
risk_adjusted20_4_ma20,test,stop_gap,4,0.0,-0.09570708943800595,-93887.41518800001
risk_adjusted20_4_ma20,test,target,34,1.0,0.14780069997182288,1203743.1117025001
risk_adjusted20_4_ma20,test,target_gap,4,1.0,0.16861233339246284,161184.68537800002
risk_adjusted20_4_ma20,test,time_exit,11,0.8181818181818182,0.045935745404040856,110728.94859000013
