strategy,split,start_date,end_date,total_return,annual_return,annual_volatility,max_drawdown,sharpe,sortino,calmar,trades,win_rate,profit_factor,average_trade_return,average_holding_days,average_entry_gap,turnover,average_exposure,final_equity,benchmark_total_return,benchmark_max_drawdown,equal_weight_total_return,equal_weight_max_drawdown,excess_total_return,excess_vs_equal_weight,buy_attempts,buy_blocked_limit,buy_capacity_limited,sell_blocked_limit,sell_blocked_suspension,t1_stop_triggered,market_gate_blocked_days,open_positions_at_end,horizon,strategy_origin,trading_days,positions_observed,short_sample_warning,validation_status,return_rank
daily_breakout_2_time3,1_month,2026-07-01,2026-07-31,0.15641309217870059,4.283609658152763,0.6419827205206287,-0.09901243486854339,2.9215634236862975,5.2113082364517505,43.26335034422713,19,0.5789473684210527,1.3733280043678469,0.011980214477756051,1.3157894736842106,-0.003046774584809269,19.323172776435246,0.5720867891083763,1156413.0921787005,-0.10204316176941108,-0.11342938555433024,-0.03638755392927828,-0.07993007592327472,0.25845625394811167,0.19280064610797887,21,0,0,0,0,5,0,2,1_month,first_pass_new,23,21,True,frozen_before_horizon_comparison,1
daily_breakout_2_fixed,1_month,2026-07-01,2026-07-31,0.13830161324870027,3.409632413168974,0.6400453815145362,-0.09901243486854339,2.6447129109349694,4.58759131717655,34.43640607056949,17,0.5294117647058824,1.3082496964948094,0.011301866184789908,1.4705882352941178,-0.0024625666319310134,17.38441353496772,0.5743824186287536,1138301.6132487003,-0.10204316176941108,-0.11342938555433024,-0.03638755392927828,-0.07993007592327472,0.24034477501811136,0.17468916717797855,19,0,0,0,0,5,0,2,1_month,existing_git,23,19,True,frozen_before_horizon_comparison,2
daily_breakout_2_time10,1_month,2026-07-01,2026-07-31,0.13830161324870027,3.409632413168974,0.6400453815145362,-0.09901243486854339,2.6447129109349694,4.58759131717655,34.43640607056949,17,0.5294117647058824,1.3082496964948094,0.011301866184789908,1.4705882352941178,-0.0024625666319310134,17.38441353496772,0.5743824186287536,1138301.6132487003,-0.10204316176941108,-0.11342938555433024,-0.03638755392927828,-0.07993007592327472,0.24034477501811136,0.17468916717797855,19,0,0,0,0,5,0,2,1_month,first_pass_new,23,19,True,frozen_before_horizon_comparison,2
daily_breakout_4_time10,1_month,2026-07-01,2026-07-31,0.07612778066000003,1.3173190841629805,0.50815713845752,-0.10186563771524815,1.90793582516531,4.629271561521226,12.931927917099689,30,0.4666666666666667,1.1679045807834323,0.006950181100534525,1.6666666666666667,-0.0044724990123749565,15.430304378538525,0.6107003933473719,1076127.78066,-0.10204316176941108,-0.11342938555433024,-0.03638755392927828,-0.07993007592327472,0.17817094242941112,0.11251533458927832,34,0,0,0,0,9,0,4,1_month,first_pass_new,23,34,True,frozen_before_horizon_comparison,4
daily_breakout_2_time5,1_month,2026-07-01,2026-07-31,0.046664814158700496,0.6861155644334529,0.6519612686001748,-0.10565649207136019,1.1296485605468918,1.7894527973704382,6.4938325225680575,18,0.4444444444444444,0.9613401075364976,0.0005102759761767728,1.3333333333333333,-0.004106345981216496,18.326522708322944,0.5733247942345296,1046664.8141587004,-0.10204316176941108,-0.11342938555433024,-0.03638755392927828,-0.07993007592327472,0.14870797592811158,0.08305236808797878,20,0,0,0,0,6,0,2,1_month,first_pass_new,23,20,True,frozen_before_horizon_comparison,5
daily_breakout_2_time2,1_month,2026-07-01,2026-07-31,0.013580414290100373,0.16708673313069577,0.5454891648082184,-0.09901243486854339,0.5591082794456124,0.7697801571129944,1.687532816989433,20,0.6,0.9386933802545748,0.0004178170575609711,1.35,-0.007724316613083965,20.13397523431146,0.6528501699091763,1013580.4142901003,-0.10204316176941108,-0.11342938555433024,-0.03638755392927828,-0.07993007592327472,0.11562357605951146,0.049967968219378656,22,0,1,0,0,5,0,2,1_month,first_pass_new,23,22,True,frozen_before_horizon_comparison,6
daily_breakout_2_time1,1_month,2026-07-01,2026-07-31,0.0010992579285997728,0.012664103426711648,0.7873601554856672,-0.18558228615777972,0.41161472730828114,0.6550602754847155,0.0682398287514617,42,0.47619047619047616,0.89271059301632,-0.0014617485364025473,1.0,-0.003895646479187654,41.10270075606026,0.9226632106472678,1001099.2579285998,-0.10204316176941108,-0.11342938555433024,-0.03638755392927828,-0.07993007592327472,0.10314241969801086,0.037486811857878055,44,0,1,0,0,10,0,2,1_month,first_pass_new,23,44,True,frozen_before_horizon_comparison,7
daily_breakout_2_time5_market_ma20,1_month,2026-07-01,2026-07-31,-0.04608106296999992,-0.41747682690521126,0.20031765751321692,-0.05958344667612592,-2.590942826936717,-1.2063535974916568,-7.006590759585702,4,0.25,0.45100862470133524,-0.023567943555422105,1.0,-0.020913217740816725,3.9924968105021534,0.08378976259230561,953918.93703,-0.10204316176941108,-0.11342938555433024,-0.03638755392927828,-0.07993007592327472,0.055962098799411164,-0.009693509040721637,4,0,0,0,0,2,19,0,1_month,first_pass_new,23,4,True,frozen_before_horizon_comparison,8
reversal10_4_time5,1_month,2026-07-01,2026-07-31,-0.09670578242030003,-0.6880795070154836,0.5385149018645475,-0.2038363634910758,-1.8867686782911266,-3.08011186831492,-3.3756465001182603,24,0.4166666666666667,0.7252797763083566,-0.012347703130673696,2.5416666666666665,-0.003073756319443006,12.616462619904672,0.7473947620408367,903294.2175796999,-0.10204316176941108,-0.11342938555433024,-0.03638755392927828,-0.07993007592327472,0.005337379349111049,-0.06031822849102175,28,0,0,0,0,5,0,4,1_month,first_pass_new,23,28,True,frozen_before_horizon_comparison,9
risk_adjusted20_6_ma20,1_month,2026-07-01,2026-07-31,-0.11681043719150008,-0.7589693526178873,0.40470421427351816,-0.16868124104150017,-3.3003720449505756,-4.3058478286609585,-4.4994295034334035,21,0.14285714285714285,0.30571708288286126,-0.04278878954422495,3.3333333333333335,-0.004322140082816062,7.611225828488549,0.805826395661655,883189.5628084999,-0.10204316176941108,-0.11342938555433024,-0.03638755392927828,-0.07993007592327472,-0.014767275422088999,-0.0804228832622218,27,0,0,0,0,4,0,6,1_month,first_pass_new,23,27,True,frozen_before_horizon_comparison,10
