strategy,split,year,return,max_drawdown_within_year,average_exposure
daily_breakout_2_fixed,train,2021,0.12106700745440002,-0.2377785517439005,0.7072883366730602
daily_breakout_2_fixed,train,2022,-0.2772865795524212,-0.38214748503182316,0.7575155967887004
daily_breakout_2_fixed,train,2023,-0.3749630503741308,-0.46040468442992455,0.7719606527305597
daily_breakout_2_fixed,train,2024,0.05302010475670982,-0.3289275388680103,0.7710566139621017
daily_breakout_2_fixed,test,2025,0.4386228941310004,-0.18352652567625394,0.7701096803838252
daily_breakout_2_fixed,test,2026,0.3844691652283938,-0.2038388808216408,0.7081516964632474
daily_rank_10_time1,train,2021,-0.599573789358401,-0.6213012949519421,0.938731432780086
daily_rank_10_time1,train,2022,-0.756561910443353,-0.7614637592379853,0.8351445316722759
daily_rank_10_time1,train,2023,-0.5157505045877037,-0.5561893448819732,0.6626094607562114
daily_rank_10_time1,train,2024,-0.614879101568266,-0.609668318129815,0.41759754262839355
daily_rank_10_time1,test,2025,-0.25951614241759924,-0.4349952706434139,0.9364121017045933
daily_rank_10_time1,test,2026,-0.40731878489996376,-0.48343791190277663,0.8856614950818356
daily_rank_10_time2,train,2021,-0.4086425209507991,-0.4518040844843997,0.8893255959984604
daily_rank_10_time2,train,2022,-0.5973384927111247,-0.6059770720060746,0.8672559070585306
daily_rank_10_time2,train,2023,-0.38622499834127233,-0.46459799054403006,0.8386672304063307
daily_rank_10_time2,train,2024,-0.4304869658679368,-0.5190218255892654,0.7743850653896254
daily_rank_10_time2,test,2025,-0.005802687909500448,-0.35699185259626454,0.9101606134674151
daily_rank_10_time2,test,2026,-0.1811564929961359,-0.3103047940386471,0.865135124268413
daily_rank_no_touch_10_time1,train,2021,-0.6017129543328016,-0.6412692198363066,0.9325035102343457
daily_rank_no_touch_10_time1,train,2022,-0.6930524721056301,-0.6907967124797674,0.8403549895257937
daily_rank_no_touch_10_time1,train,2023,-0.5456429816208099,-0.5579657263180902,0.672966063017822
daily_rank_no_touch_10_time1,train,2024,-0.568602178348822,-0.5647642735543998,0.44979094666036784
daily_rank_no_touch_10_time1,test,2025,-0.24535371100140058,-0.3317544466352138,0.9377735264547339
daily_rank_no_touch_10_time1,test,2026,-0.23982324457523008,-0.3842436973732126,0.9026576208294723
daily_rank_no_touch_10_time2,train,2021,-0.17151201066599964,-0.3472721473870698,0.9051276051373888
