strategy,split,start_date,end_date,total_return,annual_return,annual_volatility,max_drawdown,sharpe,sortino,calmar,trades,win_rate,profit_factor,average_trade_return,average_holding_days,average_entry_gap,turnover,average_exposure,final_equity,benchmark_total_return,benchmark_max_drawdown,equal_weight_total_return,equal_weight_max_drawdown,excess_total_return,excess_vs_equal_weight,buy_attempts,buy_blocked_limit,buy_capacity_limited,sell_blocked_limit,sell_blocked_suspension,t1_stop_triggered,market_gate_blocked_days,open_positions_at_end
daily_breakout_2_time2,test,2025-01-01,2026-07-31,1.2963522223489998,0.7329942418434754,0.43106397454671447,-0.3272948968806234,1.4915220504054139,2.515705339840976,2.2395529194909067,379,0.49076517150395776,1.1874033876106407,0.004877917436337239,1.6174142480211082,-0.0035115234936278668,350.04234018868186,0.7399686371436177,2296352.2223489997,0.23937888743708902,-0.12169285646600014,0.24497726338019188,-0.13418001056408824,1.0569733349119108,1.051374958968808,381,0,66,0,0,49,0,2
daily_breakout_2_time3,test,2025-01-01,2026-07-31,1.1297231023260976,0.6487644454137893,0.44990647237898973,-0.3110631205319141,1.335965047872315,2.579534655899802,2.085636009516043,294,0.48639455782312924,1.244505781923993,0.005795200497978603,1.989795918367347,-0.004515373587333267,282.9204226622681,0.733485846168908,2129723.1023260974,0.23937888743708902,-0.12169285646600014,0.24497726338019188,-0.13418001056408824,0.8903442148890086,0.8847458389459057,297,1,19,0,0,42,0,2
daily_breakout_2_fixed,test,2025-01-01,2026-07-31,0.9917290373160002,0.5773064314506067,0.40197864464547606,-0.2038388808216408,1.3349196597161948,2.3635264784455234,2.8321703353333767,169,0.47928994082840237,1.2814248794307617,0.010043948082301583,3.497041420118343,-0.004087936546191974,169.3286187621463,0.7475647595331436,1991729.037316,0.23937888743708902,-0.12169285646600014,0.24497726338019188,-0.13418001056408824,0.7523501498789111,0.7467517739358083,171,0,8,0,0,26,0,2
daily_breakout_2_time5_market_ma20,test,2025-01-01,2026-07-31,0.5482045994120999,0.3352290153330879,0.36438491226472564,-0.21991842341785028,0.9749151926447794,1.4429620275641521,1.5243334784014195,155,0.45806451612903226,1.2233702772970996,0.006720646404263812,2.638709677419355,-0.0034962157514169265,150.4344470322223,0.5155716650967802,1548204.5994121,0.23937888743708902,-0.12169285646600014,0.24497726338019188,-0.13418001056408824,0.30882571197501085,0.303227336031908,155,0,6,0,0,19,127,0
daily_breakout_2_time10,test,2025-01-01,2026-07-31,0.5432326204864997,0.3323913012216537,0.4116520306943695,-0.2930163455253435,0.9023645250825372,1.6210922901902405,1.1343780178055105,188,0.4521276595744681,1.1722314980927482,0.005787448225528605,3.122340425531915,-0.004100994561317033,188.31013928854864,0.7501862868976205,1543232.6204864997,0.23937888743708902,-0.12169285646600014,0.24497726338019188,-0.13418001056408824,0.30385373304941066,0.2982553571063078,191,1,2,0,0,31,0,2
daily_breakout_2_time5,test,2025-01-01,2026-07-31,0.4972435453473001,0.3059948448880956,0.4360903084529977,-0.27531135322870703,0.8297675383966985,1.4232417807661395,1.1114501501647087,228,0.4342105263157895,1.1218740293690794,0.004580113388915364,2.5789473684210527,-0.002457235676078615,225.05733134982893,0.7469595514600523,1497243.5453473001,0.23937888743708902,-0.12169285646600014,0.24497726338019188,-0.13418001056408824,0.25786465791021107,0.2522662819671082,230,0,9,0,0,36,0,2
daily_breakout_4_time10,test,2025-01-01,2026-07-31,0.20592944876840003,0.13184697344194451,0.32044170481778556,-0.2098630789371213,0.5464719012168474,0.942137867238369,0.6282523543907798,365,0.4301369863013699,1.0600469903741032,0.002572184372322598,3.23013698630137,-0.0045590828762916355,179.89164765082216,0.7532764627687059,1205929.4487684001,0.23937888743708902,-0.12169285646600014,0.24497726338019188,-0.13418001056408824,-0.03344943866868899,-0.03904781461179185,370,1,1,0,0,55,0,4
risk_adjusted20_4_ma20,test,2025-01-01,2026-07-31,0.021224203943800646,0.013988088204749838,0.2788198640151923,-0.20464249582519978,0.1896430666013964,0.27757765183320277,0.06835378032477718,171,0.3333333333333333,0.9987733418208959,0.0009108760735187071,8.304093567251462,-0.00028309411096934315,84.56594886889471,0.9242192500954568,1021224.2039438006,0.23937888743708902,-0.12169285646600014,0.24497726338019188,-0.13418001056408824,-0.21815468349328837,-0.22375305943639123,175,0,0,0,0,5,0,4
momentum5_4_time10,test,2025-01-01,2026-07-31,-0.016905023712099343,-0.011213518710749604,0.38660676295279933,-0.3259250183989232,0.16405450103530334,0.26520339896996786,-0.03440521002602067,410,0.35121951219512193,0.9851104806393676,0.0006569952967594727,3.1195121951219513,-0.004131683857401586,200.30989934113583,0.8195089411881017,983094.9762879007,0.23937888743708902,-0.12169285646600014,0.24497726338019188,-0.13418001056408824,-0.25628391114918836,-0.2618822870922912,416,0,0,1,0,44,0,4
daily_breakout_2_time5_market_ma60,test,2025-01-01,2026-07-31,-0.0902509272716997,-0.060644356404366384,0.3628757713736782,-0.33168344463050414,0.008618514923329346,0.012119865485967232,-0.18283805654492127,165,0.41818181818181815,0.9651812288721009,0.0003354597624321695,2.6363636363636362,-0.0018534109567893153,162.1933603334059,0.5462567429762171,909749.0727283004,0.23937888743708902,-0.12169285646600014,0.24497726338019188,-0.13418001056408824,-0.3296298147087887,-0.3352281906518916,165,0,8,0,0,28,107,0
risk_adjusted20_6_ma20,test,2025-01-01,2026-07-31,-0.07045259958530059,-0.04717257826023313,0.2716933352267795,-0.24300289493410032,-0.041194612049507764,-0.05600513849453728,-0.1941235238083308,262,0.33969465648854963,0.938151854961528,-0.0010719584084296417,8.095419847328245,-0.0010151542097451228,85.75117110623133,0.9156301708376706,929547.4004146995,0.23937888743708902,-0.12169285646600014,0.24497726338019188,-0.13418001056408824,-0.3098314870223896,-0.31542986296549247,268,0,0,0,0,7,0,6
daily_rank_10_time2,test,2025-01-01,2026-07-31,-0.18590798631400196,-0.12719364097780195,0.35178922665755447,-0.37175593827535003,-0.211250822667265,-0.3586282336823607,-0.34214286278217537,1873,0.44901227976508273,0.9587818449968376,-0.0003909754573538031,1.8836091831286705,0.005301578573259654,358.172794317744,0.8937769930520713,814092.013685998,0.23937888743708902,-0.12169285646600014,0.24497726338019188,-0.13418001056408824,-0.425286873751091,-0.43088524969419384,1932,15,0,4,10,93,0,10
daily_breakout_2_time1,test,2025-01-01,2026-07-31,-0.5193065523491992,-0.38399800590323796,0.5098306576447167,-0.6822903000346829,-0.6935144054353705,-1.0703957599622123,-0.562807364964324,755,0.42649006622516555,0.8873369550999691,-0.0017204050422422997,1.0,-0.004394948417610972,720.312613378503,0.9499926729852649,480693.4476508008,0.23937888743708902,-0.12169285646600014,0.24497726338019188,-0.13418001056408824,-0.7586854397862882,-0.7642838157293911,760,2,37,0,0,92,0,2
daily_rank_no_touch_10_time2,test,2025-01-01,2026-07-31,-0.37752420033220035,-0.26914867869313897,0.33138329488564516,-0.4754570023888709,-0.779780303911402,-1.2045891042649255,-0.5660841618502556,1866,0.439978563772776,0.8849145515491299,-0.002144865290545449,1.912647374062165,-0.0032650696793442863,354.84588529865374,0.8977629551694967,622475.7996677996,0.23937888743708902,-0.12169285646600014,0.24497726338019188,-0.13418001056408824,-0.6169030877692894,-0.6225014637123922,1931,0,0,1,10,48,0,10
reversal10_4_time5,test,2025-01-01,2026-07-31,-0.429475037754,-0.3100846112730722,0.3297680233823982,-0.4815753342610528,-0.9596704550011788,-1.4774033114234375,-0.6438963734487723,336,0.43452380952380953,0.7919866576833658,-0.005689842699350253,4.086309523809524,-0.0001645847118394677,162.8750204875648,0.8769188102790324,570524.9622460001,0.23937888743708902,-0.12169285646600014,0.24497726338019188,-0.13418001056408824,-0.668853925191089,-0.6744523011341919,340,0,0,0,0,6,0,4
daily_rank_no_touch_10_time1,test,2025-01-01,2026-07-31,-0.4263354325357014,-0.30757579997297757,0.32351951451179206,-0.46576994466676513,-0.973727239440503,-1.5959099094182303,-0.6603599126453565,3703,0.4380232244126384,0.89573853061295,-0.00132560480170582,1.0005401026194978,-0.0026763475567510007,702.2357436995583,0.9249957492769555,573664.5674642986,0.23937888743708902,-0.12169285646600014,0.24497726338019188,-0.13418001056408824,-0.6657143199727904,-0.6713126959158933,3810,0,0,2,17,77,0,10
daily_rank_10_time1,test,2025-01-01,2026-07-31,-0.561129127526101,-0.4199901940910603,0.3431230031883456,-0.6283243827082361,-1.4147818907350254,-2.2680911225584808,-0.6684289288294001,3663,0.4337974337974338,0.8835227150965217,-0.0020369966430447872,1.0021840021840023,0.0033077177870146483,699.2205303778536,0.9179452579334851,438870.872473899,0.23937888743708902,-0.12169285646600014,0.24497726338019188,-0.13418001056408824,-0.80050801496319,-0.8061063909062929,3810,20,0,8,16,132,0,10
